1 2 34
2 35 34
2 3 35
3 36 35
3 4 36
4 37 36
4 5 37
5 38 37
5 6 38
6 39 38
6 7 39
7 40 39
7 8 40
8 41 40
8 9 41
9 42 41
9 10 42
10 43 42
10 11 43
11 44 43
11 12 44
12 45 44
12 13 45
13 46 45
13 14 46
14 47 46
14 15 47
15 48 47
15 16 48
16 49 48
16 17 49
17 50 49
17 18 50
18 51 50
18 19 51
19 52 51
19 20 52
20 53 52
20 21 53
21 54 53
21 22 54
22 55 54
22 23 55
23 56 55
23 24 56
24 57 56
24 25 57
25 58 57
25 26 58
26 59 58
26 27 59
27 60 59
27 28 60
28 61 60
28 29 61
29 62 61
29 30 62
30 63 62
30 31 63
31 64 63
31 32 64
32 65 64
32 33 65
34 35 66
35 67 66
35 36 67
36 68 67
36 37 68
37 69 68
37 38 69
38 70 69
38 39 70
39 71 70
39 40 71
40 72 71
40 41 72
41 73 72
41 42 73
42 74 73
42 43 74
43 75 74
43 44 75
44 76 75
44 45 76
45 77 76
45 46 77
46 78 77
46 47 78
47 79 78
47 48 79
48 80 79
48 49 80
49 81 80
49 50 81
50 82 81
50 51 82
51 83 82
51 52 83
52 84 83
52 53 84
53 85 84
53 54 85
54 86 85
54 55 86
55 87 86
55 56 87
56 88 87
56 57 88
57 89 88
57 58 89
58 90 89
58 59 90
59 91 90
59 60 91
60 92 91
60 61 92
61 93 92
61 62 93
62 94 93
62 63 94
63 95 94
63 64 95
64 96 95
64 65 96
66 67 97
67 98 97
67 68 98
68 99 98
68 69 99
69 100 99
69 70 100
70 101 100
70 71 101
71 102 101
71 72 102
72 103 102
72 73 103
73 104 103
73 74 104
74 105 104
74 75 105
75 106 105
75 76 106
76 107 106
76 77 107
77 108 107
77 78 108
78 109 108
78 79 109
79 110 109
79 80 110
80 111 110
80 81 111
81 112 111
81 82 112
82 113 112
82 83 113
83 114 113
83 84 114
84 115 114
84 85 115
85 116 115
85 86 116
86 117 116
86 87 117
87 118 117
87 88 118
88 119 118
88 89 119
89 120 119
89 90 120
90 121 120
90 91 121
91 122 121
91 92 122
92 123 122
92 93 123
93 124 123
93 94 124
94 125 124
94 95 125
95 126 125
95 96 126
97 98 127
98 128 127
98 99 128
99 129 128
99 100 129
100 130 129
100 101 130
101 131 130
101 102 131
102 132 131
102 103 132
103 133 132
103 104 133
104 134 133
104 105 134
105 135 134
105 106 135
106 136 135
106 107 136
107 137 136
107 108 137
108 138 137
108 109 138
109 139 138
109 110 139
110 140 139
110 111 140
111 141 140
111 112 141
112 142 141
112 113 142
113 143 142
113 114 143
114 144 143
114 115 144
115 145 144
115 116 145
116 146 145
116 117 146
117 147 146
117 118 147
118 148 147
118 119 148
119 149 148
119 120 149
120 150 149
120 121 150
121 151 150
121 122 151
122 152 151
122 123 152
123 153 152
123 124 153
124 154 153
124 125 154
125 155 154
125 126 155
127 128 156
128 157 156
128 129 157
129 158 157
129 130 158
130 159 158
130 131 159
131 160 159
131 132 160
132 161 160
132 133 161
133 162 161
133 134 162
134 163 162
134 135 163
135 164 163
135 136 164
136 165 164
136 137 165
137 166 165
137 138 166
138 167 166
138 139 167
139 168 167
139 140 168
140 169 168
140 141 169
141 170 169
141 142 170
142 171 170
142 143 171
143 172 171
143 144 172
144 173 172
144 145 173
145 174 173
145 146 174
146 175 174
146 147 175
147 176 175
147 148 176
148 177 176
148 149 177
149 178 177
149 150 178
150 179 178
150 151 179
151 180 179
151 152 180
152 181 180
152 153 181
153 182 181
153 154 182
154 183 182
154 155 183
156 157 184
157 185 184
157 158 185
158 186 185
158 159 186
159 187 186
159 160 187
160 188 187
160 161 188
161 189 188
161 162 189
162 190 189
162 163 190
163 191 190
163 164 191
164 192 191
164 165 192
165 193 192
165 166 193
166 194 193
166 167 194
167 195 194
167 168 195
168 196 195
168 169 196
169 197 196
169 170 197
170 198 197
170 171 198
171 199 198
171 172 199
172 200 199
172 173 200
173 201 200
173 174 201
174 202 201
174 175 202
175 203 202
175 176 203
176 204 203
176 177 204
177 205 204
177 178 205
178 206 205
178 179 206
179 207 206
179 180 207
180 208 207
180 181 208
181 209 208
181 182 209
182 210 209
182 183 210
184 185 211
185 212 211
185 186 212
186 213 212
186 187 213
187 214 213
187 188 214
188 215 214
188 189 215
189 216 215
189 190 216
190 217 216
190 191 217
191 218 217
191 192 218
192 219 218
192 193 219
193 220 219
193 194 220
194 221 220
194 195 221
195 222 221
195 196 222
196 223 222
196 197 223
197 224 223
197 198 224
198 225 224
198 199 225
199 226 225
199 200 226
200 227 226
200 201 227
201 228 227
201 202 228
202 229 228
202 203 229
203 230 229
203 204 230
204 231 230
204 205 231
205 232 231
205 206 232
206 233 232
206 207 233
207 234 233
