1 2
1 10
2 3
2 10
2 11
3 4
3 11
3 12
4 5
4 12
4 13
5 6
5 13
5 14
6 7
6 14
6 15
7 8
7 15
7 16
8 9
8 16
8 17
9 17
10 11
10 18
11 12
11 18
11 19
12 13
12 19
12 20
13 14
13 20
13 21
14 15
14 21
14 22
15 16
15 22
15 23
16 17
16 23
16 24
17 24
18 19
18 25
19 20
19 25
19 26
20 21
20 26
20 27
21 22
21 27
21 28
22 23
22 28
22 29
23 24
23 29
23 30
24 30
25 26
25 31
26 27
26 31
26 32
27 28
27 32
27 33
28 29
28 33
28 34
29 30
29 34
29 35
30 35
31 32
31 36
32 33
32 36
32 37
33 34
33 37
33 38
34 35
34 38
34 39
35 39
36 37
36 40
37 38
37 40
37 41
38 39
38 41
38 42
39 42
40 41
40 43
41 42
41 43
41 44
42 44
43 44
43 45
44 45
